full_name,url,language,stars,forks,open_issues,stars_per_month,category,indie_game_index
TheDuckCow/godot-road-generator,https://github.com/TheDuckCow/godot-road-generator,GDScript,1069,62,62,24.2,地形与世界生成,35
bitbrain/pandora,https://github.com/bitbrain/pandora,GDScript,1059,40,41,27.1,框架与游戏系统,65
DmitriySalnikov/godot_debug_draw_3d,https://github.com/DmitriySalnikov/godot_debug_draw_3d,C++,1026,41,7,21.8,编辑器、开发工具与语言绑定,55
foxssake/netfox,https://github.com/foxssake/netfox,GDScript,1011,69,41,29.1,网络与多人,55
nobodywho-ooo/nobodywho,https://github.com/nobodywho-ooo/nobodywho,Rust,1010,70,35,46.9,AI 辅助开发与 LLM 集成,45
Maran23/script-ide,https://github.com/Maran23/script-ide,GDScript,1009,35,6,30.9,编辑器、开发工具与语言绑定,58
don-tnowe/godot-resources-as-sheets-plugin,https://github.com/don-tnowe/godot-resources-as-sheets-plugin,GDScript,1008,40,35,22.4,编辑器、开发工具与语言绑定,60
peter-kish/gloot,https://github.com/peter-kish/gloot,GDScript,928,44,28,19.2,框架与游戏系统,62
Portponky/better-terrain,https://github.com/Portponky/better-terrain,GDScript,737,39,27,16.8,地形与世界生成,60
expressobits/inventory-system,https://github.com/expressobits/inventory-system,C++,724,60,23,17.1,框架与游戏系统,60
rsubtil/controller_icons,https://github.com/rsubtil/controller_icons,GDScript,419,38,16,9.1,编辑器、开发工具与语言绑定,50
Kiamo2/YATI,https://github.com/Kiamo2/YATI,GDScript,287,32,8,7.3,地形与世界生成,48
Kelpekk/Juicee,https://github.com/Kelpekk/Juicee,GDScript,40,2,0,40.0,框架与游戏系统,60
neohex-interactive/sparkelite,https://github.com/neohex-interactive/sparkelite,GDScript,9,0,0,6.5,框架与游戏系统,48
